name,year,A,A1,A2,A3,A4,B,B1,B2,B3,B4,C,C1,C2,C3,C4
宿州市,2005,0,0,0,0,0,1,18.0,18.0,0.0,18.0,2,7255.339844,470.48408509,131.28120044,339.20289616
黑河市,2005,1,75.0,53.0,27.03000069,25.96999931,1,600.0,400.0,100.0,300.0,1,100.0,14.6239996,10.96800041,3.655999899
襄阳市,2005,0,0,0,0,0,5,2243.0,530.17460059,242.9140005,287.260599614,1,1000.0,124.1299973,91.85620117,32.2737999
崇左市,2005,0,0,0,0,0,3,52468.0,2898.80291348,27.18449974,2871.618414696,0,0,0,0,0
龙岩市,2005,5,6620.0,2042.41200256,12.32999992,2030.08200076,11,121876.21973,16981.821189680002,2737.20264467,14244.61857249,0,0,0,0,0
德州市,2005,0,0,0,0,0,10,72767.810059,10289.0999756,6228.0,4061.0999756,0,0,0,0,0
洛阳市,2005,0,0,0,0,0,9,135095.0,9492.11612162,4971.349328367,4520.7668247,1,17048.20703,893.3317261,0.0,893.3317261
台州市,2005,2,111.41999817,80.0,0.0,80.0,21,90710.82684380001,15087.74961823,5344.17660184,9743.57298288,1,600.0,308.0,157.0800018,150.9199982
鄂州市,2005,0,0,0,0,0,4,4243.714110999999,839.666223078,469.95289424199996,369.713328839,0,0,0,0,0
黄山市,2005,0,0,0,0,0,3,782.0,535.6332016,355.5,180.1332016,3,20269.0,2488.4462891,398.5812988,2089.8651123
南宁市,2005,2,135.0,125.0,0.0,125.0,9,186375.0,26022.392809311998,529.952529228,25492.440293161,8,114465.0,16518.7839966,0.0,16518.7839966
酒泉市,2005,0,0,0,0,0,1,81397.14844,3973.029785,2383.864014,1589.165649,0,0,0,0,0
乌鲁木齐市,2005,1,500.0,60.40999985,30.20499992,30.20499992,3,58300.0,7777.962454362,5063.604821483,2714.357617441,2,8970.0,941.7180786,0.0,941.7180786
孝感市,2005,0,0,0,0,0,6,45241.5,3641.19847679,1938.2504271999999,1702.94814109,0,0,0,0,0
潮州市,2005,1,12.0,12.0,0.0,12.0,15,8434.0,934.6619357500001,443.95931052000003,490.70277406,1,6500.0,837.6550293,0.0,837.6550293
抚顺市,2005,0,0,0,0,0,7,5549.0,959.34971238,490.28700251000004,469.06270408,3,5342.0,4020.3764841,0.0,4020.3764841
锦州市,2005,0,0,0,0,0,12,20119.898827905,4299.594810975001,2036.491874965,2263.102875146,1,270.0,334.2456055,71.41999817,262.825592
玉林市,2005,0,0,0,0,0,5,22501.93555,3432.5115797050003,356.149809872,3076.361800314,1,100.0,72.48999786,0.0,72.48999786
贺州市,2005,0,0,0,0,0,3,1856.0,735.1587982,106.5728836,628.58589935,0,0,0,0,0
三门峡市,2005,0,0,0,0,0,2,4268.919922,2798.32799911,586.24599838,2212.08199978,0,0,0,0,0
秦皇岛市,2005,1,3314.0,2314.0,0.0,2314.0,14,719113.41500185,61863.70141405,1950.34784701,59913.353546230006,1,3500.0,331.2972107,0.0,331.2972107
通辽市,2005,0,0,0,0,0,3,12490.0,3445.6044005999997,118.2870026,3327.31739805,1,85.0,60.0,36.47999954,23.52000046
韶关市,2005,1,1100.0,102.9039993,0.0,102.9039993,10,46621.6000061,5655.069509520001,0.0,5655.069509520001,6,21284.09210014,2802.88043879,136.5984955,2666.28205009
六安市,2005,0,0,0,0,0,2,640.0,200.40000153,42.27999878,158.12000084,0,0,0,0,0
鹤壁市,2005,0,0,0,0,0,3,84040.0,9638.17415394,5726.863203940001,3911.310675931,0,0,0,0,0
梧州市,2005,1,688.2999878,344.1499939,0.0,344.1499939,7,125605.0,6348.90419872,593.4187622,5755.485467019999,1,1800.0,231.5339966,23.15340042,208.3806
茂名市,2005,2,1417.0,597.69185638,16.73847961,580.95337677,15,20674.0,1726.1579895,150.017395,1576.140564,1,1390.0,128.6300049,0.0,128.6300049
铁岭市,2005,0,0,0,0,0,4,124303.0,6541.285401,2858.4948735,3682.7904051,0,0,0,0,0
邯郸市,2005,0,0,0,0,0,8,56760.0,5157.462006000001,2017.7990189,3139.66301382,0,0,0,0,0
常德市,2005,1,1000.0,120.8199997,90.61499786,30.20499992,4,19600.0,1336.0206051,217.22463994,1118.79597468,0,0,0,0,0
马鞍山市,2005,0,0,0,0,0,10,195424.07030999998,18359.96904073,7909.447754000001,10450.52128573,1,2000.0,800.0,500.0,300.0
安阳市,2005,0,0,0,0,0,4,5270.0,954.99141318,126.91322517,828.0781908099999,1,15723.0,969.322937,0.0,969.322937
吉安市,2005,0,0,0,0,0,9,88653.0,7637.19522144,0.0,7637.19522144,1,58.0,40.81600189,20.81599998,20.0
莱芜市,2005,1,1500.0,192.7799988,0.0,192.7799988,3,153600.0,7943.29895,1018.69537352,6924.60334249,1,131.0200043,126.5199966,105.2699966,21.25
兰州市,2005,0,0,0,0,0,3,221000.0,14716.46445153,9486.93701591,5229.52694871,3,27500.0,1838.9680025999999,67.81500244,1771.15300011
淮北市,2005,0,0,0,0,0,3,12125.0,1440.8340759,221.87754819,1218.9565886999999,1,800.0,800.0,200.0,600.0
临沧市,2005,0,0,0,0,0,1,85.0,75.0,0.0,75.0,0,0,0,0,0
廊坊市,2005,1,12.0,10.0,0.0,10.0,17,20287.40348014,9027.83846994,1607.9000533399999,7419.938443481001,3,5062.0,3852.0,1004.406006,2847.5939941
晋城市,2005,0,0,0,0,0,1,520000.0,13502.32031,9586.647461,3915.672852,0,0,0,0,0
景德镇市,2005,0,0,0,0,0,5,106020.0,7646.75177811,4259.980346,3386.77161451,0,0,0,0,0
邵阳市,2005,0,0,0,0,0,2,5400.0,362.4599991,247.68099216000002,114.77899742,1,7650.0,1090.660522,872.5283813,218.1320953
六盘水市,2005,0,0,0,0,0,1,40000.0,2416.399902,724.9199829,1691.47998,0,0,0,0,0
漯河市,2005,0,0,0,0,0,4,159735.01559999998,16283.64852285,3661.20028285,12622.44824,2,6280.0,395.543993,369.8999939,25.6439991
周口市,2005,0,0,0,0,0,3,7360.5,4145.4940033,109.1204987,4036.37350082,0,0,0,0,0
衡水市,2005,0,0,0,0,0,6,392.65000248099994,165.446699141,45.172835348,120.27382826499999,0,0,0,0,0
白银市,2005,0,0,0,0,0,1,25000.0,1312.75415,841.670105,471.0840149,0,0,0,0,0
平顶山市,2005,0,0,0,0,0,1,1900.0,1400.0,0.0,1400.0,1,735.0,62.16189957,12.43239975,49.72949982
德宏傣族景颇族自治州,2005,0,0,0,0,0,1,1905.0,1658.0,0.0,1658.0,1,26.0,26.0,0.0,26.0
十堰市,2005,0,0,0,0,0,2,6041.60000038,735.64327428,347.4311829,388.21206087999997,1,140.0,12.08199978,8.940699577,3.14131999
娄底市,2005,0,0,0,0,0,3,200800.0,10647.237304,7977.542479999999,2669.6951900000004,0,0,0,0,0
揭阳市,2005,0,0,0,0,0,6,4408.0,3119.1224975600003,48.536001209999995,3070.58645058,0,0,0,0,0
许昌市,2005,0,0,0,0,0,3,433020.0,21401.27501926,8474.34231414,12926.933680150001,2,668.0,87.78939629,67.07499695,20.71439934
蚌埠市,2005,0,0,0,0,0,5,29266.0,4358.5662234,1867.93433761,2490.6318205999996,0,0,0,0,0
本溪市,2005,0,0,0,0,0,5,95084.0,5543.7970034,1153.013016642,4390.783824225001,0,0,0,0,0
湘潭市,2005,0,0,0,0,0,5,3087.5,622.67100428,279.042590116,343.628406503,2,8100.0,969.16001889,703.1964148999999,265.96360398999997
